id,title,year,genre,duration
1,А был ли Каротин,1989,1,154
2,А в России опять окаянные дни,1990,2,133
3,А вдруг это любовь?,2007,1,90
4,А вот и моя крошка,1994,2,96
5,А вот и Полли,2004,1,90
6,А вы любили когда-нибудь?,1973,1,84
7,А если это любовь?,1961,3,102
8,А зори здесь тихие...,1972,2,188
9,А к нам цирк приехал,1978,2,23
10,А как же Боб?,1991,1,97
11,А кто-то все видит,1994,4,88
12,А мне так нравится,1994,1,106
13,А потом оглянулся...,1980,2,31
14,А поутру они проснулись...,2003,1,90
15,А причем здесь любовь,1993,2,118
16,А прошлое кажется сном,1988,5,133
17,А спать с чужой женой хорошо?,1992,1,88
18,А теперь кое-что совсем другое,1971,1,88
19,А теперь не смотри,1973,6,110
20,"А теперь, дамы и господа...",2002,3,133
21,А у вас который час?,2001,2,116
22,А у нас была тишина,1977,2,88
23,А человек играет на трубе,1970,7,65
24,А чой-то ты во фраке?,1993,1,71
25,А это случилось в Виши,1989,2,127
26,А. Чехов. Сценки,1973,1,41
27,Абай,1995,2,139
28,Абба: фильм,1977,7,95
29,"Абдулладжан, или Посвящается Стивену Спилбергу",1991,1,89
30,Абитуриентка,1973,2,80
31,Абориген,1987,2,132
32,"Абраксас, хранитель вселенной",1992,8,87
33,Абрафакс под пиратским флагом,2001,9,80
34,Абрек Заур,1926,2,85
35,Абсолютная агрессия,1996,8,88
36,Абсолютная власть,1996,4,122
37,Абсолютная реальность,1997,8,97
38,Абсолютная сила,1996,8,93
39,Абсурдистан,2008,1,88
40,Абу Райхан Беруни,1974,10,151
41,Абулхаир-Хан,1993,2,97
42,Авалон,2001,8,106
43,Авалон,1990,1,126
44,Авалон: подводная миссия,1999,8,95
45,Авансцена,2000,3,114
46,Аванти!,1972,1,144
47,Авантюра,1995,1,81
48,Авантюристы,1984,11,104
49,Авария,1974,4,139
50,Авария,1965,4,98
51,Авария,1989,4,87
52,Авария,1996,4,93
53,Авария - дочь мента,1989,2,99
54,Аватар,2009,11,282
55,Август,1996,2,92
56,Август,1978,2,75
57,Август Раш,2007,2,113
58,Августовская рапсодия,1991,2,94
59,Августовские киты,1987,2,87
60,Авдотья Павловна,1966,2,84
61,Аве Мария,1999,2,96
62,Аве Цезарь,1993,1,97
63,Аветик,1992,2,100
64,Авиатор,2004,2,170
65,Авиатор,1984,11,101
66,Авиценна,1956,10,92
69,Аврора,2006,2,112
70,Аврора: операция перехват,1994,11,90
71,Австралия,2008,13,274
72,Австрийское поле,1991,2,89
73,Автобусная остановка,1956,1,94
74,Автокатастрофа,1996,4,100
75,Автоматик,1994,11,86
76,Автомобиль на крыше,1980,1,76
77,"Автомобиль, скрипка и собака Клякса",1974,1,101
78,Автомойка,1976,1,97
79,Автономка,2006,13,4600
80,"Автопортрет в гробу, в кандалах и с саксофоном",1991,5,67
81,Автопортрет неизвестного,1988,2,74
82,Автор песен,1984,7,94
83,Автора! Автора!,1982,1,110
84,Авторитет,1997,11,100
85,Автостоп,1990,1,56
86,Автостопом по Галактике,2005,13,110
87,Автостоянка,1996,1,86
89,Агапэ,1996,4,78
90,Агата,1978,4,104
91,Агент,1991,11,90
92,Агент &quot;Дикая утка,2002,1,80
93,Агент 117,2006,13,99
94,Агент ви-юбке,2000,1,64
95,Агент Джонни Инглиш,2003,1,93
96,Агент Коди Бэнкс,2003,11,110
97,Агент Коди Бэнкс 2: Пункт назначения - Лондон,2004,11,100
98,Агент на льду,1985,11,97
99,Агент национальной безопасности 1,1998,11,624
100,Агент национальной безопасности 2,1999,11,624
101,Агент национальной безопасности 3,2000,11,624
102,Агент национальной безопасности 4,2003,11,600
103,Агент национальной безопасности 5,2004,11,600
104,Агент по имени Дилайла,1992,8,85
105,Агент поневоле,1996,1,95
106,Агент секретной службы,1978,4,86
107,Агентство,2001,1,415
108,Агентство &quot;Золотая пуля,2002,4,1248
109,Агентство 2,2004,1,717
110,Агентство НЛС,2001,1,832
111,Агентство НЛС 2,2002,1,640
112,Агенты,2000,2,104
113,Агенты КГБ тоже влюбляются,1991,1,88
114,Агенты ФБР,1988,1,88
115,"Агирре, гнев божий",1972,11,94
116,Агитбригада &quot;Бей врага!,2007,1,122
117,Агнесса божья,1985,6,97
118,Агония,1974,2,143
119,Агония и экстаз,1965,2,134
120,Ад,2005,2,98
121,Ад,1993,2,98
122,Ад в открытом море,1954,11,102
123,Ад в поднебесье,1974,11,165
124,Ад в Тихом океане,1968,11,102
125,Ад для героев,1962,15,90
126,Ад живых мертвецов,1980,6,98
127,Ад каннибалов,1980,6,91
128,"Ад, или Досье на самого себя",1989,2,144
129,Ада,1961,1,109
130,Адам женится на Еве,1980,7,131
131,Адам и Ева,2003,1,99
132,Адам и Хева,1969,1,71
133,Адам хочет быть человеком,1959,2,86
134,Адамовы яблоки,2005,1,94
135,Адаптация,2002,1,114
136,Адвокат,1990,2,205
137,Адвокат,2003,4,1404
138,Адвокат дьявола,1997,2,138
139,Адвокат как доверенное лицо,1995,2,96
140,Адвокат на каникулы,2001,1,85
141,Адвокат террора,2007,5,135
142,Административная власть,1954,2,103
143,Адмирал Нахимов,1946,2,93
144,Адмирал Ушаков,1953,2,107
145,Адмиралъ,2008,2,156
146,Адольф Гитлер. Билет в одну сторону,2002,10,104
147,Адреналин,1996,8,72
148,Адреналин,2006,11,87
149,Адреналин 2,2009,11,287
150,Адрес вашего дома,1972,2,86
151,Адрес неизвестен,1996,4,88
152,Адрес неизвестен,2001,2,117
153,Адская женушка,1993,6,83
154,Адская кухня,1998,4,95
155,Адская месть,1988,6,86
156,Адская месть II: Кровавые крылья,1993,6,88
157,Адская поездка,2008,11,236
158,Адская тварь,1994,6,83
159,Адские охотники,1986,11,96
160,Адский бункер,2008,11,90
161,Адский вылет,1993,2,89
